make_id,make_display,make_country
abarth,Abarth,Italy
ac,AC,UK
acura,Acura,USA
alfa-romeo,Alfa Romeo,Italy
allard,Allard,UK
alpina,Alpina,UK
alpine,Alpine,Germany
alvis,Alvis,UK
amc,AMC,USA
ariel,Ariel,UK
armstrong-siddeley,Armstrong Siddeley,UK
ascari,Ascari,UK
aston-martin,Aston Martin,UK
audi,Audi,Germany
austin,Austin,UK
austin-healey,Austin-Healey,UK
autobianchi,Autobianchi,Italy
auverland,Auverland,France
avanti,Avanti,USA
beijing,Beijing,China
bentley,Bentley,UK
berkeley,Berkeley,UK
bitter,Bitter,Germany
bizzarrini,Bizzarrini,Italy
bmw,BMW,Germany
brilliance,Brilliance,China
bristol,Bristol,UK
bugatti,Bugatti,Italy
buick,Buick,USA
cadillac,Cadillac,USA
caterham,Caterham,UK
checker,Checker,USA
chevrolet,Chevrolet,USA
chrysler,Chrysler,USA
citroen,Citroen,France
dacia,Dacia,Romania
daewoo,Daewoo,South Korea
daf,DAF,Netherlands
daihatsu,Daihatsu,Japan
daimler,Daimler,UK
datsun,Datsun,Japan
de-tomaso,De Tomaso,Italy
dkw,DKW,Germany
dodge,Dodge,USA
donkervoort,Donkervoort,Netherlands
eagle,Eagle,USA
fairthorpe,Fairthorpe,UK
ferrari,Ferrari,Italy
fiat,Fiat,Italy
fisker,Fisker,USA
ford,Ford,USA
gaz,GAZ,Russia
geely,Geely,China
ginetta,Ginetta,UK
gmc,GMC,USA
holden,Holden,Australia
honda,Honda,Japan
hudson,Hudson,USA
humber,Humber,UK
hummer,Hummer,USA
hyundai,Hyundai,South Korea
infiniti,Infiniti,Japan
innocenti,Innocenti,Italy
isuzu,Isuzu,Japan
italdesign,Italdesign,Italy
jaguar,Jaguar,UK
jeep,Jeep,USA
jensen,Jensen,UK
kia,Kia,South Korea
koenigsegg,Koenigsegg,Sweden
lada,Lada,Russia
lamborghini,Lamborghini,Italy
lancia,Lancia,Italy
land-rover,Land Rover,UK
lexus,Lexus,Japan
lincoln,Lincoln,USA
lotec,Lotec,Germany
lotus,Lotus,UK
luxgen,Luxgen,Taiwan
mahindra,Mahindra,India
marcos,Marcos,UK
maserati,Maserati,Italy
matra-simca,Matra-Simca,France
maybach,Maybach,Germany
mazda,Mazda,Japan
mcc,MCC,Germany
mclaren,McLaren,UK
mercedes-benz,Mercedes-Benz,Germany
mercury,Mercury,USA
mg,MG,UK
mini,Mini,UK
mitsubishi,Mitsubishi,Japan
monteverdi,Monteverdi,Switzerland
moretti,Moretti,Italy
morgan,Morgan,UK
morris,Morris,UK
nissan,Nissan,Japan
noble,Noble,UK
nsu,NSU,Germany
oldsmobile,Oldsmobile,USA
opel,Opel,Germany
packard,Packard,USA
pagani,Pagani,Italy
panoz,Panoz,USA
peugeot,Peugeot,France
pininfarina,Pininfarina,Italy
plymouth,Plymouth,USA
pontiac,Pontiac,USA
porsche,Porsche,Germany
proton,Proton,Malaysia
reliant,Reliant,UK
renault,Renault,France
riley,Riley,UK
rolls-royce,Rolls-Royce,UK
rover,Rover,UK
saab,Saab,Sweden
saleen,Saleen,USA
samsung,Samsung,South Korea
saturn,Saturn,USA
scion,Scion,Japan
seat,Seat,Spain
simca,Simca,France
singer,Singer,UK
skoda,Skoda,Czech Republic
smart,Smart,France
spyker,Spyker,Netherlands
ssangyong,SsangYong,South Korea
ssc,SSC,USA
steyr,Steyr,Austria
studebaker,Studebaker,USA
subaru,Subaru,Japan
sunbeam,Sunbeam,UK
suzuki,Suzuki,Japan
talbot,Talbot,UK
tata,Tata,India
tatra,Tatra,Czech Republic
tesla,Tesla,USA
toyota,Toyota,Japan
trabant,Trabant,Germany
triumph,Triumph,UK
tvr,TVR,UK
vauxhall,Vauxhall,Germany
vector,Vector,Japan
venturi,Venturi,France
volkswagen,Volkswagen,Germany
volvo,Volvo,Sweden
wartburg,Wartburg,Germany
westfield,Westfield,UK
willys-overland,Willys-Overland,USA
xedos,Xedos,Japan
zagato,Zagato,Italy
zastava,Zastava,Serbia
zaz,ZAZ,Ukraine
zenvo,Zenvo,Denmark
zil,ZIL,Russia
